typeElement,idElement,DataType,screenHeight,eventTimeClick,Ref,isUserClick,SessionId,accountName,eventType,pageY,workspace,pageX,screenWidth,classNameElement,Url,clientdate,capturePhase,MacId
div,no-id,Event,12352,269564.80000000075,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,205,master%3A-,404,941,flex flex-column min-vh-100 w-100,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802553557e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
span,no-id,Event,12365,20256.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,9780,master%3A-,518,941,absolute left-0 top-0 bg-white,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802573883e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
label,no-id,Event,12365,21169.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,9774,master%3A-,419,941,cea-cea-store-theme-0-x-formlabel mb2 db relative f5 lh-copy,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802574796e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
input,emailInput,Event,12365,22068.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,9782,master%3A-,239,941,cea-cea-store-theme-0-x-forminput f6 ma0 outline-0,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802575695e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
section,no-id,Event,12365,27242.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,5248,master%3A-,10,941,vtex-store-components-3-x-container ph3 ph5-m ph2-xl mw9 center vtex-search-result-3-x-searchresultcontainer pt3-m pt5-l,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802580876e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
div,no-id,Event,12365,30063.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,185,master%3A-,266,941,cea-cea-store-theme-0-x-heading-tag-h1__container,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802583695e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
input,downshift-1-input,Event,12365,31083.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,72,master%3A-,432,941,vtex-styleguide-9-x-input ma0 border-box vtex-styleguide-9-x-hidedecorators vtex-styleguide-9-x-noappearance br2  br-0 br--left  w-100 bn outline-0 bg-base c-on-base b--muted-2 t-body pl5 ,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802584717e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
section,no-id,Event,12365,32945.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,1431,master%3A-,927,941,vtex-store-components-3-x-container ph3 ph5-m ph2-xl mw9 center vtex-search-result-3-x-searchresultcontainer pt3-m pt5-l,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802586575e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
img,no-id,Event,12365,35069.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,2839,master%3A-,728,941,vtex-product-summary-2-x-imagenormal vtex-product-summary-2-x-image vtex-product-summary-2-x-mainimagehovered,https://www.cea.com.br/ofertas/ofertas-por-24-horas,1.727802588696e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
div,no-id,Event,6710,58021.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,543,master%3A-,675,941,cea-cea-store-theme-0-x-valuewrapper vtex-store-components-3-x-valuewrapper cea-cea-store-theme-0-x-skuselectoritemtextvalue vtex-store-components-3-x-skuselectoritemtextvalue f4 black tc z-1 t-body,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,1.727802611648e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
div,no-id,Event,6710,58839.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,555,master%3A-,737,941,cea-cea-store-theme-0-x-valuewrapper vtex-store-components-3-x-valuewrapper cea-cea-store-theme-0-x-skuselectoritemtextvalue vtex-store-components-3-x-skuselectoritemtextvalue f4 black tc z-1 t-body,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,1.727802613197e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
img,no-id,Event,6710,60390.5,https://www.cea.com.br/,true,6628a69a-e98b-4d97-b1ab-1853a88acd6e,cea,click,72,master%3A-,70,941,vtex-store-components-3-x-logoimage vtex-store-components-3-x-logoimage--header-logo-mobile vtex-render-runtime-8-x-lazyload ls-is-cached lazyloaded,https://www.cea.com.br/maio-infantil-manga-longa-uv-50--basiquinho-pink-4494811/p,1.727802614072e+12,capturing_phase,66c87aa0-30c1-456c-8b12-97b5966963d6
